address,id,latitude,longitude,city,name,zip code,brand,WiFi,Bagels in the Bou,Nitro on Tap,Order Ahead,Gluten-Free Offerings,Drive-Thru,Gluten Free Offerings,Limited Coffee Menu,Catering
"1380 Duckwood Drive Eagan, MN",8865404,44.82687888190396,-93.16573351621628,Eagan,Eagan - Duckwood,55123,Caribou,1,1,1,1,1,1,0,0,0
"1299 Promenade Place Eagan, MN",8865628,44.8363174713923,-93.15832793712616,Eagan,Lunds & Byerlys - Eagan,55121,Caribou,1,0,0,0,0,0,0,0,0
"14638 Cedar Avenue Apple Valley, MN",8865469,44.7364302267299,-93.21703344583511,Apple Valley,Apple Valley - Cedar Avenue,55124,Caribou,1,1,1,1,1,0,0,0,0
"228 Little Canada Road Little Canada, MN",14891125,45.02312197608977,-93.09106558489208,Little Canada,Little Canada & 35 E,55117,Caribou,1,0,1,1,0,1,1,0,0
"3673 Lexington Avenue North Arden Hills, MN",8865384,45.05165577574342,-93.14763665199285,Arden Hills,Arden Hills - Lexington & 694,55126,Caribou,1,1,1,1,1,1,0,0,0
"401 Robert Street St. Paul, MN",8865371,44.9486509,-93.092294,St. Paul,Securian Financial,55101,Caribou,1,1,1,1,1,0,0,0,0
"444 Cedar Street St. Paul, MN",8865368,44.94807611301412,-93.09408903121954,St. Paul,Town Square,55101,Caribou,0,1,0,1,1,0,0,0,0
"115 East 10th Street St. Paul, MN",8865618,44.9513517,-93.0951996,St. Paul,Lunds & Byerlys - Downtown St. Paul,55101,Caribou,0,0,0,0,0,0,0,0,0
"1720 Rice Street Maplewood, MN",8865383,44.992991906682725,-93.10549110174173,Maplewood,Rice & Larpenteur,55113,Caribou,0,1,1,1,1,1,0,0,0
"2714 Lincoln Drive Roseville, MN",8865625,45.0223969,-93.1686543,Roseville,Roseville Crossing,55113,Caribou,1,0,0,1,1,0,0,0,0
"1601 West County Road C Roseville, MN",8865623,45.02194554453962,-93.17065000534058,Roseville,Lunds & Byerlys - Roseville,55113,Caribou,0,0,0,0,0,0,0,0,0
"209 6th Avenue Northeast Isanti, MN",8865676,45.49157746566519,-93.23557019233704,Isanti,Coborn's - Isanti,55040,Caribou,1,0,0,0,0,1,0,0,0
"1595 Second Avenue Northeast Cambridge, MN",8865450,45.57319513268318,-93.20516601204878,Cambridge,Cambridge - 2nd Ave,55008,Caribou,1,1,1,1,1,1,0,0,0
"3507 Round Lake Boulevard NW Anoka, MN",8865427,45.21760535478905,-93.35823565721512,Anoka,Round Lake Blvd,55303,Caribou,1,1,1,1,1,1,0,0,0
"14050 St. Francis Boulevard Ramsey, MN",8865430,45.2254694023544,-93.39810401201242,Ramsey,Ramsey - St. Francis Blvd,55303,Caribou,1,1,1,1,1,1,0,0,0
"3536 Main Street Coon Rapids, MN",8865424,45.196976,-93.3554562,Coon Rapids,Coon Rapids - Main Street,55448,Caribou,1,1,1,1,1,1,0,0,0
"2022 Northdale Boulevard Coon Rapids, MN",8865460,45.18049316337576,-93.31802263855934,Coon Rapids,Coon Rapids - Hanson Blvd,55433,Caribou,1,1,0,1,1,0,0,0,0
"101 West Main Street Anoka, MN",8865451,45.19953801477647,-93.39286163449287,Anoka,Anoka - West Main,55303,Caribou,1,1,1,1,1,1,0,0,0
"7988 Sunwood Drive NW Ramsey, MN",8865429,45.2351903,-93.4694583,Ramsey,Ramsey Town Center,55303,Caribou,0,1,0,1,1,1,0,0,0
"19425 Evans Street Northwest Elk River, MN",8865675,45.32335526410793,-93.55934500694269,Elk River,Coborn's - Elk River,55330,Caribou,1,0,0,1,0,1,0,0,0
"19260 Freeport Street NW Elk River, MN",8865433,45.3193211,-93.5638363,Elk River,Elk River - Freeport Street,55330,Caribou,1,1,0,1,1,0,0,0,0
"18157 Carson Court Elk River, MN",8865415,45.30036556525983,-93.55480402708054,Elk River,Carson Street Station,55330,Caribou,0,1,1,1,1,1,0,0,0
"11468 Jefferson Court Champlin, MN",8865423,45.16083422049527,-93.39266690410989,Champlin,Champlin (Hwy 169 & Elm Creek Pkwy),55316,Caribou,1,1,1,1,1,1,0,0,0
"9638 Colorado Lane North Brooklyn Park, MN",8865436,45.131888121953686,-93.35709035396582,Brooklyn Park,Brooklyn Park - 610 and Zane,55445,Caribou,1,1,1,1,1,1,0,0,0
"8559 Edinburgh Centre Drive North Brooklyn Park, MN",8865421,45.11068280927532,-93.30548540497108,Brooklyn Park,Brooklyn Park - Edinburgh Center,55443,Caribou,1,1,0,1,1,0,0,0,0
"272 57th Avenue NE Fridley, MN",8865417,45.07130816989309,-93.26683402061462,Fridley,Coffee & Bagels Fridley Market,55432,Caribou,0,0,0,1,0,0,0,0,0
"2218 County Road D Roseville, MN",8865387,45.03545115965738,-93.1944465637207,Roseville,Roseville - Tower Glen,55112,Caribou,0,1,1,1,1,0,0,0,0
"703 Northland Drive Princeton, MN",8865426,45.55685064985348,-93.58406960964203,Princeton,Coffee & Bagels Princeton,55371,Caribou,0,0,0,1,0,0,0,0,0
"13635 Northdale Boulevard Rogers, MN",8865432,45.20189573041662,-93.55523586273193,Rogers,Rogers - I94 and 101,55374,Caribou,1,1,1,1,1,1,0,0,0
"726 Martin Avenue Big Lake, MN",8865416,45.33426399653642,-93.73472929000854,Big Lake,Big Lake - Town Square,55309,Caribou,1,1,0,1,1,0,0,0,0
"11008 61st Street Northeast Albertville, MN",8865431,45.23972487871,-93.66380631923681,Albertville,Albertville - 61st Avenue,55301,Caribou,1,1,1,1,1,1,0,0,0
"5698 La Centre Avenue NE Albertville, MN",8865678,45.233890520132135,-93.66086661815643,Albertville,Coborn's - Albertville,55301,Caribou,1,0,0,0,0,1,0,0,0
"2700 39th Avenue NE Minneapolis, MN",8865360,45.0392742,-93.2201933,St. Anthony,Silver Lake Village,55421,Caribou,1,1,1,1,1,0,0,0,0
"1595 MN-36 W Roseville, MN",8865624,45.012747,-93.172333,Roseville,Rosedale Mall,55113,Caribou,1,0,1,0,1,0,0,0,0
"2111 Snelling Avenue North Roseville, MN",8865626,45.0047233,-93.1674099,Roseville,Har Mar Mall Bruegger's Co-Brand,55113,Caribou,1,0,1,0,0,1,0,0,0
"16393 County Road 30 Maple Grove, MN",8865674,45.12542576517041,-93.48877876996988,Maple Grove,Dunkirk Square Bruegger's Co-Brand,55311,Caribou,0,0,1,0,0,0,0,0,0
"8881 Jefferson Highway Osseo, MN",8865437,45.114908441220194,-93.40296819806105,Osseo,Osseo - Jefferson Hwy,55369,Caribou,1,1,1,1,1,1,0,0,0
"8073 Wedgewood Lane North Maple Grove, MN",8865438,45.1010544,-93.4504872,Maple Grove,Wedgewood,55369,Caribou,1,1,0,1,1,0,0,0,0
"520 Jefferson Blvd. NW Big Lake, MN",14998507,45.3322332,-93.74169719999999,Big Lake,Hwy 10 & Eagle Lake - Drive-Thru Only,55309,Caribou,1,0,0,1,0,1,0,0,0
"1523 7th Street East Monticello, MN",8865419,45.292992098905074,-93.77142459154129,Monticello,Union Crossing,55362,Caribou,0,1,1,1,1,1,0,0,0
"100 6th Street Monticello, MN",8865420,45.30157488824928,-93.79779607057571,Monticello,Monticello - 6th St,55362,Caribou,1,1,1,1,1,1,0,0,0
"1180 Shingle Creek Parkway Brooklyn Center, MN",8865446,45.0586029,-93.316344,Brooklyn Center,Coffee & Bagels Shingle Creek Crossing,55430,Caribou,1,0,0,0,0,1,0,1,1
"3900 Lakebreeze Avenue N Brooklyn Center, MN",8865447,45.0438425797353,-93.33049356937403,Brooklyn Center,Brooklyn Center HQ,55429,Caribou,1,1,1,1,1,0,0,0,0
"1730 New Brighton Boulevard Minneapolis, MN",8865361,45.0056685,-93.2280522,Minneapolis,Minneapolis - The Quarry,55413,Caribou,1,1,1,1,1,0,0,0,0
"25 University Avenue Southeast Minneapolis, MN",8865607,44.98743768960104,-93.2552307844162,Minneapolis,Lunds & Byerlys - Northeast Minneapolis,55414,Caribou,0,0,0,0,0,0,0,0,0
"501 5th Street North Minneapolis, MN",8865344,44.983726,-93.2788213,Minneapolis,Target Field Station,55401,Caribou,1,1,1,1,1,0,0,0,0
"351 Willow Bend Crystal, MN",8865439,45.0543982,-93.3688931,Crystal,Crystal Shopping Center,55428,Caribou,1,1,0,1,1,0,0,0,0
"509 Washington Avenue S Minneapolis, MN",8865348,44.9785183,-93.2610213,Minneapolis,5th & Washington,55415,Caribou,1,1,1,1,1,0,0,0,0
"100 South 5th Street Minneapolis, MN",8865346,44.97839291431327,-93.26865658164024,Minneapolis,Minneapolis - 5th Street Towers,55402,Caribou,1,1,0,1,1,0,0,0,0
"50 South 6 Street Minneapolis, MN",8865357,44.97835315401318,-93.27191165889548,Minneapolis,Fifty South Sixth - Dorsey Tower,55402,Caribou,1,1,0,1,1,0,0,0,0
"7635 Jolly Lane Brooklyn Park, MN",8865422,45.09412097632187,-93.38310531779098,Brooklyn Park,Brooklyn Blvd & 81,55445,Caribou,1,1,0,1,1,0,0,0,0
"400 West 5th Street Northfield, MN",8865580,44.455401026581875,-93.16545456647873,Northfield,Northfield - Shoppes At Westside Plaza,55057,Caribou,1,1,1,1,1,0,0,0,0
"726 Main Street Red Wing, MN",8865619,44.56459845637776,-92.53946453332901,Red Wing,Red Wing - Main St,55066,Caribou,1,1,1,1,1,1,0,0,0
"1920 Grant Street NW Faribault, MN",8865571,44.295273164414404,-93.29704105854034,Faribault,Hy-Vee - Faribault,55021,Caribou,1,0,0,0,0,0,0,0,0
"2280 Grant Street Faribault, MN",12007229,44.29471,-93.30217,Faribault,Faribault - Grant Street,55021,Caribou,1,1,0,1,1,1,0,0,0
"18444 Kenrick Avenue Lakeville, MN",8865492,44.6817603,-93.2881216,Lakeville,Lakeville - Timbercrest,55044,Caribou,1,1,1,1,1,0,0,0,0
"17880 Kenwood Trail Lakeville, MN",9061076,44.68990283834171,-93.28116774559021,Lakeville,Coffee & Bagels Kenwood Trail,55044,Caribou,1,0,1,1,0,0,0,0,0
"17450 Kenwood Trail Lakeville, MN",8865489,44.69602444134964,-93.28549951314932,Lakeville,Lakeville-Hwy 50,55044,Caribou,1,1,0,1,1,0,0,0,0
"1100 East County Road 42 Burnsville, MN",8865504,44.737997325261595,-93.25862243771553,Burnsville,Burnsville - Wood Park Crossing,55337,Caribou,1,1,0,1,1,0,0,0,0
"401 E County Road 42 Burnsville, MN",8865712,44.73859462154736,-93.2702243328095,Burnsville,Lunds & Byerlys - Burnsville,55306,Caribou,1,0,0,0,0,0,0,0,0
"14204 Burnhaven Drive Burnsville, MN",8865470,44.74413479829643,-93.28914999961853,Burnsville,Burnsville Center,55306,Caribou,1,1,0,0,1,0,0,0,0
"2149 Cliff Road Eagan, MN",8865627,44.79111666993209,-93.21724936366087,Eagan,Eagan - Cliff Road,55122,Caribou,1,0,1,1,1,0,0,0,0
"2351 County Road 42 Burnsville, MN",14998714,44.7457606,-93.30880789999999,Burnsville,Burnsville County 42 - Drive-Thru Only,55306,Caribou,1,0,0,1,0,1,0,0,0
"12601 Nicollet Avenue Burnsville, MN",8865490,44.77343669972011,-93.27711760997772,Burnsville,Burnsville Parkway & Nicollet,55337,Caribou,1,1,1,1,1,0,0,0,0
"2001 Cliff Road East Burnsville, MN",8865491,44.7896572938755,-93.24540451169014,Burnsville,Burnsville - Town & Country,55337,Caribou,1,1,1,1,1,1,0,0,0
"7745 Egan Drive Savage, MN",8865461,44.74516542597854,-93.37900936603546,Savage,Savage (Cty Rd 42 & 13-Super Target),55378,Caribou,1,1,1,1,1,1,0,0,0
"16731 Highway 13 Prior Lake, MN",8865713,44.706413763813266,-93.42866241931915,Prior Lake,Lunds & Byerlys - Prior Lake,55372,Caribou,0,0,0,0,0,0,0,0,0
"2400 Mystic Lake Boulevard Prior Lake, MN",8865715,44.73058870091565,-93.47435063558197,Prior Lake,Mystic Lake,55372,Caribou,1,0,0,0,0,0,0,0,0
"8360 Hansen Avenue Shakopee, MN",8865467,44.77661073560036,-93.41215074062347,Shakopee,Coffee & Bagels Shakopee Crossing,55379,Caribou,0,0,0,1,0,0,0,0,0
"3835 West Old Shakopee Road Bloomington, MN",8865487,44.810284370102565,-93.3291283249855,Bloomington,France & Old Shakopee,55431,Caribou,1,1,1,1,1,0,0,0,0
"5159 West 98th Street Bloomington, MN",8865721,44.823859804847025,-93.34946751594543,Bloomington,Lunds & Byerlys - Bloomington,55437,Caribou,1,0,0,0,0,0,0,0,0
"200 Alton Ave. SE New Prague, MN",14964167,44.5419661,-93.5541211,New Prague,Coborns - New Prague,56071,Caribou,0,0,0,0,0,0,0,0,0
"757 Grand Avenue St. Paul, MN",8865367,44.940187076464355,-93.1321294605732,St. Paul,Grand II,55105,Caribou,1,1,1,1,1,0,0,0,0
"2340 West 7th Street St. Paul, MN",8865392,44.903907862123425,-93.16492214798927,St. Paul,St. Paul - West 7th Street,55116,Caribou,1,1,1,1,1,1,0,0,0
"4300 Glumack Drive St. Paul, MN",8865615,44.88251078129889,-93.20511390674591,St. Paul,MSP Airport Terminal 1 - Concourse F - Post-Security,55111,Caribou,0,0,1,0,1,0,0,0,0
"4300 Glumack Drive St. Paul, MN",8865614,44.88188456249005,-93.20650018900375,St. Paul,MSP Airport Terminal 1 - Concourse G - Post-Security,55111,Caribou,0,0,0,0,1,0,0,0,0
"157 East Main St. Ellsworth, Wi",14887095,44.730911,-92.476584,Ellsworth,Nilssen Ellsworth,54011,Caribou,0,0,0,0,0,0,0,0,0
"1055 Grand Avenue St. Paul, MN",8865366,44.9401591,-93.1444414,St. Paul,Grand I - Oxford,55105,Caribou,1,1,0,1,1,0,0,0,0
"1817 Randolph Avenue St. Paul, MN",8865393,44.92733125369815,-93.17687541246414,St. Paul,St. Paul - Randolph & Fairview,55105,Caribou,1,1,0,1,1,0,0,0,0
"68 Snelling Avenue South St. Paul, MN",8865390,44.93948934147295,-93.16642820835114,St. Paul,St. Paul - Grand & Snelling,55105,Caribou,1,1,1,1,1,0,0,0,0
"2134 Ford Parkway St. Paul, MN",8865391,44.91741945431069,-93.19100797176355,St. Paul,Highland Park,55116,Caribou,1,1,0,1,1,0,0,0,0
"4300 Glumack Drive St. Paul, MN",14964062,44.88339092738654,-93.2113548639029,St. Paul,MSP Airport Terminal 2 - MSP Mall,55111,Caribou,0,0,0,0,0,0,0,0,0
"7150 Humphrey Drive Minneapolis, MN",8865610,44.874,-93.228286,Minneapolis,MSP Airport Terminal 2 - Baggage Claim,55450,Caribou,0,0,0,0,1,0,0,0,0
"7150 Humphrey Drive Minneapolis, MN",8865613,44.873410105516356,-93.22869837284088,Minneapolis,MSP Airport Terminal 2 - Concourse H - Post-Security,55450,Caribou,0,0,0,0,1,0,0,0,0
"5102 Center Court - Nickelodeon Universe Bloomington, MN",8865723,44.8557729,-93.2421734,Bloomington,Mall Of America - Nickelodeon Universe,55425,Caribou,0,0,0,0,0,0,0,0,0
"60 East Broadway S-380 Bloomington, MN",8865722,44.854593762894694,-93.24246212822436,Bloomington,Mall Of America - 3rd Floor South,55425,Caribou,1,0,0,0,1,0,0,0,0
"60 East Broadway S-226 Bloomington, MN",8865484,44.855401,-93.243168,Bloomington,Mall of America - South Skyway,55425,Caribou,0,1,0,0,1,0,0,0,0
"60 East Broadway N-194 Bloomington, MN",8865485,44.855399,-93.243172,Bloomington,Mall of America - 1st Floor North,55425,Caribou,1,1,1,0,1,0,0,0,0
"60 East Broadway N-224 Bloomington, MN",8865486,44.855399,-93.243172,Bloomington,Mall of America - 2nd Floor North,55425,Caribou,1,1,0,0,1,0,0,0,0
"1601 E 66th St. Richfield, MN",9740254,44.8832428,-93.251112,Richfield,Coffee & Bagels 66th & 16th,55423,Caribou,0,0,0,1,0,0,0,0,0
"1700 East 66th Street Richfield, MN",8865364,44.88386542305174,-93.24980869889254,Richfield,Cedar Point,55423,Caribou,0,1,0,1,1,0,0,0,0
"8000 Norman Center Drive Bloomington, MN",8865478,44.8524443323772,-93.35169106721878,Bloomington,Bloomington - 8000 Tower,55437,Caribou,1,1,0,1,1,0,0,0,0
"7950 Penn Avenue South Bloomington, MN",8865488,44.8592821,-93.3094841,Bloomington,Penn & 79th,55431,Caribou,1,1,1,1,1,1,0,0,0
"225 Triangle Lane N Jordan, MN",14812580,44.6710697,-93.6368813,Jordan,Hwy 169 & Creek - Drive-Thru Only,55352,Caribou,1,0,1,1,0,1,1,0,0
"1539 17th Avenue East Shakopee, MN",8865462,44.774179291234,-93.50400164723396,Shakopee,Shakopee Valley Marketplace,55379,Caribou,1,1,1,1,1,1,0,0,0
"1361 Heather Street Shakopee, MN",8865471,44.7825365953796,-93.50682333111769,Shakopee,Shakopee - Marschall Road,55379,Caribou,1,1,1,1,1,1,0,0,0
"1004 Gateway Drive Chaska, MN",8865463,44.80376854866843,-93.57798635959625,Chaska,Chaska - Gateway Drive,55318,Caribou,0,1,1,1,1,1,0,0,0
"142 Pioneer Trail Chaska, MN",8865464,44.82974562219914,-93.6001186072827,Chaska,Chaska Pioneer,55318,Caribou,1,1,1,1,1,0,0,0,0
"1 Valleyfair Drive Shakopee, MN",8865717,44.79863495163102,-93.45408681349181,Shakopee,Valleyfair,55379,Caribou,0,0,0,0,0,0,0,0,0
"920 West 78th Street Chanhassen, MN",8865465,44.86368101990967,-93.5447403788566,Chanhassen,Chanhassen - West 78th Street,55317,Caribou,1,1,0,1,1,0,0,0,0
"800 West 78th Street Chanhassen, MN",8865710,44.86362778865807,-93.54169338941574,Chanhassen,Lunds & Byerlys - Chanhassen,55317,Caribou,1,0,0,0,0,0,0,0,0
"16506 West 78th Street Eden Prairie, MN",8865500,44.863473797974535,-93.48720967769628,Eden Prairie,Eden Prairie - West 78th,55344,Caribou,1,1,0,1,1,0,0,0,0
"77 Highway 5 West Waconia, MN",8865714,44.84287335675574,-93.78720134496683,Waconia,Waconia Bruegger's Bagels Co-Brand,55387,Caribou,1,0,1,0,0,0,0,0,0
"851 Marketplace Drive Waconia, MN",13686627,44.8363533,-93.79997089999999,Waconia,Mackenthun's Fine Foods,55387,Caribou,0,0,0,0,0,0,0,0,0
"13250 Technology Drive Eden Prairie, MN",8865493,44.85923033708233,-93.44247981905937,Eden Prairie,Eden Prairie Transit Station,55344,Caribou,1,1,0,1,1,0,0,0,0
"8251 Flying Cloud Drive Eden Prairie, MN",8865734,44.854309660213175,-93.42448890209198,Eden Prairie,Eden Prairie Center,55344,Caribou,1,0,0,0,0,0,0,0,0
"970 Prairie Center Drive Eden Prairie, MN",8865731,44.86518858456258,-93.44255894422531,Eden Prairie,Lunds & Byerlys - Eden Prairie,55344,Caribou,0,0,0,0,0,0,0,0,0
"11611 Leona Road Eden Prairie, MN",8865503,44.85902500039644,-93.42486709356308,Eden Prairie,Eden Prairie - Leona & Flying Cloud Drive,55344,Caribou,1,1,1,1,1,1,0,0,0
"804 North Minnesota Ave. St. Peter, MN",14824719,44.33222412212463,-93.95058038773152,St. Peter,Hwy 169 & West Ramsey - Drive-Thru Only,56082,Caribou,1,0,0,1,0,1,0,0,0
