brand,id,city,address,zip code,latitude,longitude,name,ownership,storeNumber,Drive-Thru,Oven-warmed Food,Mobile Payment,LaBoulange,Google Wi-Fi,Mobile Order and Pay,Music Experience,Nitro Cold Brew,Lunch,My Starbucks Rewards,Playbook Store System,tbd - Blonde Espresso,Digital Rewards,Bakery,Wireless Hotspot,Verismo,Starbucks Reserve-Clover Brewed,tbd - Coffee Scale
Starbucks,17518,Coon Rapids,9920 Foley Blvd.,55448,45.150231,-93.276197,Coon Rapids-Foley & Hwy 10,CO,10743-99776,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
Starbucks,13804,Coon Rapids,8600 Springbrook Dr. NW,55433,45.127261,-93.268366,Target Northtown T-820,LS,76206-88844,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Starbucks,1009299,Coon Rapids,3300 124th Ave. NW,55433,45.19606,-93.34702,Target Coon Rapids T-1144,LS,23669-232351,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Starbucks,1012889,Coon Rapids,13131 Riverdale Dr. NW,55448,45.209026,-93.358432,Round Lake Blvd and Northdale,CO,25535-241231,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
Starbucks,1014064,Fridley,5300 Central Ave. NE,55421,45.064645,-93.248778,Central and 53rd - Fridley,CO,24962-238826,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
Starbucks,10142,Fridley,755 53rd Ave. NE,55421,45.066158,-93.251437,Target Mpls/Fridley ST-2200,LS,76625-95375,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Starbucks,12800,Champlin,11960 Business Park Blvd. N,55316,45.173157,-93.388445,Target Champlin ST-1831,LS,76112-88843,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
Starbucks,1015601,Brooklyn Park,9409 Zane Ave. North,55443,45.124535,-93.357507,Hy-vee-Brooklyn Park Drive Thru #1,LS,48065-254734,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Starbucks,1015565,Brooklyn Park,9409 Zane Ave. North,55443,45.125983,-93.358769,Hy Vee @ Brooklyn Park Kiosk,LS,47126-254733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,1006679,Brooklyn Park,7000 Target Parkway N,55444,45.135664,-93.370016,Target North Campus,LS,21555-204764,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
